Região;País;Item;Canal;Prioridade Pedido;Data Pedido;ID Pedido;Data Envio;Unidades Vendidas;Preço Unit;Custo Unit;Receita Total;Custo Total;Lucro Total
África Subsaariana;South Africa;Carne;Online;L;20/05/12;207922542;01/07/12;7755;421,89;364,69;3271756,95;2828170,95;443586
Europa;Lithuania;Artigos Escritório;Offline;M;04/02/14;816696012;16/02/14;7353;651,21;524,96;4788347,13;3860030,88;928316,25
Europa;Russia;Bebidas;Offline;L;15/11/15;740760314;21/11/15;6293;47,45;31,79;298602,85;200054,47;98548,38
América Central e o Caribe;The Bahamas;Comida para bebê;Online;C;11/01/13;300476777;28/02/13;6610;255,28;159,42;1687400,8;1053766,2;633634,6
América Central e o Caribe;The Bahamas;Snacks;Online;L;24/04/13;786519229;07/06/13;7373;152,58;97,44;1124972,34;718425,12;406547,22
Oriente Médio e Norte da África;Turkey;Cosméticos;Offline;C;15/05/10;409873998;03/06/10;9679;437,2;263,33;4231658,8;2548771,07;1682887,73
África Subsaariana;Mauritius ;Cosméticos;Offline;H;17/04/10;151839911;22/05/10;1659;437,2;263,33;725314,8;436864,47;288450,33
Europa;Bulgaria;Vegetais;Online;H;25/08/12;614028298;09/09/12;3473;154,06;90,93;535050,38;315799,89;219250,49
Oriente Médio e Norte da África;Iran;Eletrodomésticos;Offline;L;19/04/14;668362987;13/05/14;2315;668,27;502,54;1547045,05;1163380,1;383664,95
África Subsaariana;Ghana;Eletrodomésticos;Online;M;26/02/13;607080304;05/04/13;7408;668,27;502,54;4950544,16;3722816,32;1227727,84
África Subsaariana;Malawi;Comida para bebê;Online;M;28/12/11;792729079;17/01/12;5006;255,28;159,42;1277931,68;798056,52;479875,16
África Subsaariana;Zimbabwe;Comida para bebê;Offline;M;21/08/14;308170640;10/10/14;3395;255,28;159,42;866675,6;541230,9;325444,7
Ásia;Tajikistan;Vegetais;Online;H;21/08/14;106578814;02/10/14;7894;154,06;90,93;1216149,64;717801,42;498348,22
Europa;Czech Republic;Cereais;Online;H;02/03/14;761439931;28/03/14;5851;205,7;117,11;1203550,7;685210,61;518340,09
África Subsaariana;Mauritius ;Eletrodomésticos;Online;L;06/09/12;216552817;27/09/12;1646;668,27;502,54;1099972,42;827180,84;272791,58
África Subsaariana;Lesotho;Frutas;Online;H;16/09/10;536028802;22/09/10;1689;9,33;6,92;15758,37;11687,88;4070,49
África Subsaariana;Mali;Bebidas;Online;L;13/08/13;254291713;15/08/13;9424;47,45;31,79;447168,8;299588,96;147579,84
Europa;Georgia;Cuidados Pessoais;Online;C;11/09/12;226077878;23/10/12;323;81,73;56,67;26398,79;18304,41;8094,38
Europa;Albania;Artigos Escritório;Offline;M;31/08/11;476436126;15/10/11;6892;651,21;524,96;4488139,32;3618024,32;870115
Europa;Cyprus;Cosméticos;Offline;L;21/04/15;650727784;06/06/15;3667;437,2;263,33;1603212,4;965631,11;637581,29
América Central e o Caribe;Saint Kitts and Nevis ;Eletrodomésticos;Offline;C;11/07/10;464626681;27/07/10;2215;668,27;502,54;1480218,05;1113126,1;367091,95
Oriente Médio e Norte da África;Tunisia ;Carne;Offline;C;09/08/15;154119145;21/09/15;6135;421,89;364,69;2588295,15;2237373,15;350922
América Central e o Caribe;Cuba;Carne;Online;M;17/10/15;925504004;06/12/15;6057;421,89;364,69;2555387,73;2208927,33;346460,4
Austrália e Oceania;Kiribati;Cereais;Offline;L;24/07/12;905392587;16/08/12;4641;205,7;117,11;954653,7;543507,51;411146,19
Ásia;Cambodia;Snacks;Online;C;25/03/12;990708720;04/05/12;1581;152,58;97,44;241228,98;154052,64;87176,34
Europa;Moldova ;Comida para bebê;Online;M;11/08/14;798688733;18/09/14;8600;255,28;159,42;2195408;1371012;824396
Ásia;Uzbekistan;Cereais;Offline;C;15/10/16;916881453;28/11/16;4452;205,7;117,11;915776,4;521373,72;394402,68
Ásia;India;Cosméticos;Offline;L;03/12/16;653148210;21/01/17;9924;437,2;263,33;4338772,8;2613286,92;1725485,88
Europa;Germany;Cuidados Pessoais;Offline;C;12/06/10;285662829;13/07/10;2834;81,73;56,67;231622,82;160602,78;71020,04
Europa;Austria;Vegetais;Online;C;29/07/16;612911641;31/08/16;3030;154,06;90,93;466801,8;275517,9;191283,9
Europa;Germany;Artigos Escritório;Offline;L;09/12/13;703693473;12/01/14;7391;651,21;524,96;4813093,11;3879979,36;933113,75
Ásia;Bhutan;Roupas;Online;M;12/07/12;147119653;09/08/12;4829;109,28;35,84;527713,12;173071,36;354641,76
Ásia;Kyrgyzstan;Frutas;Online;C;14/01/12;402614009;02/03/12;1287;9,33;6,92;12007,71;8906,04;3101,67
Oriente Médio e Norte da África;Somalia;Cuidados Pessoais;Online;C;20/03/13;749912869;25/04/13;4738;81,73;56,67;387236,74;268502,46;118734,28
América Central e o Caribe;Saint Lucia;Eletrodomésticos;Online;H;10/02/14;539065062;10/03/14;186;668,27;502,54;124298,22;93472,44;30825,78
Europa;Armenia;Snacks;Offline;H;26/10/13;540431916;15/11/13;4668;152,58;97,44;712243,44;454849,92;257393,52
América do Norte;Canada;Bebidas;Online;C;16/04/16;694687259;02/06/16;2252;47,45;31,79;106857,4;71591,08;35266,32
África Subsaariana;Burundi;Cosméticos;Offline;H;27/05/11;562817418;02/06/11;9036;437,2;263,33;3950539,2;2379449,88;1571089,32
Europa;Liechtenstein;Cereais;Online;L;04/08/16;676121222;09/09/16;8149;205,7;117,11;1676249,3;954329,39;721919,91
Oriente Médio e Norte da África;Tunisia ;Snacks;Offline;L;03/07/12;286210000;05/08/12;4754;152,58;97,44;725365,32;463229,76;262135,56
Oriente Médio e Norte da África;Iraq;Bebidas;Online;L;04/12/14;515007579;11/01/15;1042;47,45;31,79;49442,9;33125,18;16317,72
Ásia;Indonesia;Cosméticos;Offline;C;31/05/10;304750287;01/06/10;1237;437,2;263,33;540816,4;325739,21;215077,19
Ásia;Kazakhstan;Bebidas;Online;H;05/02/13;467986953;17/02/13;6594;47,45;31,79;312885,3;209623,26;103262,04
Europa;Denmark;Bebidas;Offline;C;15/06/15;537578904;09/07/15;399;47,45;31,79;18932,55;12684,21;6248,34
Europa;Luxembourg;Vegetais;Offline;L;21/10/14;116699969;18/11/14;2969;154,06;90,93;457404,14;269971,17;187432,97
África Subsaariana;Cape Verde;Snacks;Offline;C;13/02/17;228836476;13/03/17;6653;152,58;97,44;1015114,74;648268,32;366846,42
Austrália e Oceania;Palau;Vegetais;Offline;C;29/06/10;167787253;16/07/10;832;154,06;90,93;128177,92;75653,76;52524,16
Austrália e Oceania;Australia;Vegetais;Online;M;19/05/14;647663629;20/05/14;6915;154,06;90,93;1065324,9;628780,95;436543,95
América Central e o Caribe;Nicaragua;Carne;Offline;L;21/03/15;652889430;15/04/15;3346;421,89;364,69;1411643,94;1220252,74;191391,2
Ásia;Laos;Artigos Escritório;Offline;M;31/08/15;588200986;15/10/15;598;651,21;524,96;389423,58;313926,08;75497,5
América Central e o Caribe;Cuba;Cuidados Pessoais;Online;L;23/08/15;928647124;30/08/15;6176;81,73;56,67;504764,48;349993,92;154770,56
Europa;Moldova ;Cosméticos;Offline;L;24/02/16;869589173;17/03/16;9615;437,2;263,33;4203678;2531917,95;1671760,05
Oriente Médio e Norte da África;Syria;Eletrodomésticos;Online;C;17/06/15;576700961;23/07/15;7485;668,27;502,54;5002000,95;3761511,9;1240489,05
América Central e o Caribe;The Bahamas;Cereais;Offline;M;27/11/12;735968816;06/12/12;8382;205,7;117,11;1724177,4;981616,02;742561,38
Europa;Belarus;Snacks;Offline;M;07/09/12;303691565;19/10/12;7938;152,58;97,44;1211180,04;773478,72;437701,32
Oriente Médio e Norte da África;United Arab Emirates;Roupas;Offline;C;23/06/12;556480538;07/08/12;3812;109,28;35,84;416575,36;136622,08;279953,28
África Subsaariana;Angola;Bebidas;Offline;H;23/10/14;141259562;11/11/14;698;47,45;31,79;33120,1;22189,42;10930,68
América Central e o Caribe;Cuba;Cosméticos;Offline;C;18/09/15;925264966;10/08/15;5320;437,2;263,33;2325904;1400915,6;924988,4
Europa;Ukraine;Artigos Escritório;Online;H;24/01/16;346045577;20/02/16;1431;651,21;524,96;931881,51;751217,76;180663,75
África Subsaariana;Mozambique;Frutas;Offline;H;23/03/10;861462724;19/04/10;4818;9,33;6,92;44951,94;33340,56;11611,38
Europa;Armenia;Cuidados Pessoais;Online;M;26/07/12;499690234;28/08/12;8299;81,73;56,67;678277,27;470304,33;207972,94
América do Norte;Greenland;Roupas;Online;H;20/10/15;509214437;02/11/15;6722;109,28;35,84;734580,16;240916,48;493663,68
América Central e o Caribe;Saint Kitts and Nevis ;Artigos Escritório;Online;M;27/06/17;408834159;18/07/17;1968;651,21;524,96;1281581,28;1033121,28;248460
Europa;Vatican City;Bebidas;Offline;M;04/04/16;237660729;30/04/16;7946;47,45;31,79;377037,7;252603,34;124434,36
Europa;Ukraine;Roupas;Online;C;05/08/15;105117976;09/09/15;5600;109,28;35,84;611968;200704;411264
África Subsaariana;Niger;Cereais;Offline;L;16/06/12;640942227;04/07/12;7903;205,7;117,11;1625647,1;925520,33;700126,77
Ásia;Myanmar;Cosméticos;Online;L;03/04/16;745182311;05/05/16;4860;437,2;263,33;2124792;1279783,8;845008,2
África Subsaariana;Guinea;Comida para bebê;Offline;C;21/09/14;738199555;21/09/14;8508;255,28;159,42;2171922,24;1356345,36;815576,88
África Subsaariana;Guinea-Bissau;Snacks;Online;L;08/08/15;110667788;10/09/15;7913;152,58;97,44;1207365,54;771042,72;436322,82
África Subsaariana;South Sudan;Artigos Escritório;Online;C;19/07/12;673573338;20/07/12;4174;651,21;524,96;2718150,54;2191183,04;526967,5
Oriente Médio e Norte da África;Turkey;Snacks;Offline;H;26/08/11;708215034;13/09/11;5421;152,58;97,44;827136,18;528222,24;298913,94
Austrália e Oceania;Palau;Eletrodomésticos;Online;M;23/06/12;816204202;01/07/12;1816;668,27;502,54;1213578,32;912612,64;300965,68
Europa;Poland;Bebidas;Offline;L;20/11/11;769464671;24/12/11;550;47,45;31,79;26097,5;17484,5;8613
Ásia;Malaysia;Bebidas;Offline;L;13/05/15;860232770;04/06/15;848;47,45;31,79;40237,6;26957,92;13279,68
América do Norte;United States of America;Cuidados Pessoais;Offline;C;16/07/10;551057326;22/08/10;8963;81,73;56,67;732545,99;507933,21;224612,78
Europa;Switzerland;Cosméticos;Online;C;21/05/16;724799668;27/05/16;3183;437,2;263,33;1391607,6;838179,39;553428,21
Austrália e Oceania;Papua New Guinea;Cosméticos;Offline;H;22/04/11;534633624;08/06/11;8825;437,2;263,33;3858290;2323887,25;1534402,75
África Subsaariana;Namibia;Bebidas;Offline;H;14/08/12;554045522;20/09/12;3237;47,45;31,79;153595,65;102904,23;50691,42
Europa;Ireland;Roupas;Online;C;17/03/12;526834189;02/05/12;799;109,28;35,84;87314,72;28636,16;58678,56
África Subsaariana;Mozambique;Eletrodomésticos;Online;C;06/08/10;717110955;09/08/10;7922;668,27;502,54;5294034,94;3981121,88;1312913,06
África Subsaariana;Democratic Republic of the Congo;Comida para bebê;Offline;L;25/02/13;559299647;26/03/13;8049;255,28;159,42;2054748,72;1283171,58;771577,14
América do Norte;United States of America;Carne;Online;M;06/03/11;908136594;10/03/11;6654;421,89;364,69;2807256,06;2426647,26;380608,8
Oriente Médio e Norte da África;Azerbaijan;Artigos Escritório;Offline;M;14/12/15;888670623;16/12/15;6240;651,21;524,96;4063550,4;3275750,4;787800
Europa;Belgium;Artigos Escritório;Offline;C;10/02/17;146263062;16/02/17;1345;651,21;524,96;875877,45;706071,2;169806,25
Ásia;Taiwan;Artigos Escritório;Offline;L;20/09/16;196587741;28/10/16;3536;651,21;524,96;2302678,56;1856258,56;446420
América Central e o Caribe;Panama;Comida para bebê;Online;M;30/04/10;375630986;02/06/10;6411;255,28;159,42;1636600,08;1022041,62;614558,46
Europa;Andorra;Bebidas;Offline;H;25/06/13;989691627;10/07/13;600;47,45;31,79;28470;19074;9396
Europa;Georgia;Eletrodomésticos;Offline;H;04/07/12;165380990;27/07/12;8765;668,27;502,54;5857386,55;4404763,1;1452623,45
América Central e o Caribe;Barbados;Snacks;Online;C;21/09/13;599622905;22/10/13;597;152,58;97,44;91090,26;58171,68;32918,58
Europa;Sweden;Cuidados Pessoais;Offline;C;08/12/16;109653699;06/01/17;7821;81,73;56,67;639210,33;443216,07;195994,26
Oriente Médio e Norte da África;Algeria;Carne;Offline;M;02/09/11;183022201;15/10/11;9191;421,89;364,69;3877590,99;3351865,79;525725,2
Europa;Italy;Cuidados Pessoais;Online;L;21/03/11;127589738;02/04/11;5494;81,73;56,67;449024,62;311344,98;137679,64
Europa;Russia;Frutas;Offline;L;08/01/11;221530139;26/01/11;4546;9,33;6,92;42414,18;31458,32;10955,86
América Central e o Caribe;Antigua and Barbuda ;Artigos Escritório;Offline;M;22/02/15;363329732;22/02/15;6197;651,21;524,96;4035548,37;3253177,12;782371,25
Oriente Médio e Norte da África;Jordan;Frutas;Online;C;15/05/17;521787345;25/06/17;7325;9,33;6,92;68342,25;50689;17653,25
África Subsaariana;Mali;Carne;Online;L;14/07/12;286014306;15/08/12;6844;421,89;364,69;2887415,16;2495938,36;391476,8
Oriente Médio e Norte da África;Somalia;Cereais;Offline;C;25/06/15;215434443;30/06/15;694;205,7;117,11;142755,8;81274,34;61481,46
Oriente Médio e Norte da África;Kuwait;Snacks;Online;L;26/10/11;489784085;01/11/11;6850;152,58;97,44;1045173;667464;377709
África Subsaariana;Liberia;Artigos Escritório;Offline;C;24/09/14;459112060;12/10/14;316;651,21;524,96;205782,36;165887,36;39895
Ásia;China;Artigos Escritório;Online;C;30/09/15;893779695;07/11/15;8128;651,21;524,96;5293034,88;4266874,88;1026160
Europa;Andorra;Carne;Offline;M;31/03/11;834460818;31/03/11;4355;421,89;364,69;1837330,95;1588224,95;249106
África Subsaariana;Niger;Bebidas;Online;C;25/10/13;742141759;28/10/13;5093;47,45;31,79;241662,85;161906,47;79756,38
Europa;Hungary;Vegetais;Offline;M;12/08/10;248121345;14/09/10;3475;154,06;90,93;535358,5;315981,75;219376,75
Europa;Monaco;Roupas;Offline;M;26/07/12;404010903;04/09/12;4659;109,28;35,84;509135,52;166978,56;342156,96
Austrália e Oceania;Tuvalu;Eletrodomésticos;Online;L;30/09/12;531734263;12/10/12;840;668,27;502,54;561346,8;422133,6;139213,2
África Subsaariana;South Sudan;Comida para bebê;Online;C;09/11/12;473527753;29/12/12;6240;255,28;159,42;1592947,2;994780,8;598166,4
Europa;Cyprus;Cereais;Offline;M;19/11/11;141940200;02/01/12;2114;205,7;117,11;434849,8;247570,54;187279,26
Europa;Poland;Eletrodomésticos;Offline;M;09/06/17;869832932;25/07/17;1749;668,27;502,54;1168804,23;878942,46;289861,77
África Subsaariana;Liberia;Snacks;Online;H;17/09/11;460379779;04/11/11;5462;152,58;97,44;833391,96;532217,28;301174,68
África Subsaariana;Cote d'Ivoire;Vegetais;Online;C;23/10/15;837067067;26/10/15;5602;154,06;90,93;863044,12;509389,86;353654,26
Ásia;Kyrgyzstan;Bebidas;Online;C;03/04/10;393693625;09/04/10;1547;47,45;31,79;73405,15;49179,13;24226,02
Europa;Slovakia;Vegetais;Offline;L;03/07/14;744370782;14/07/14;4711;154,06;90,93;725776,66;428371,23;297405,43
Ásia;Malaysia;Cosméticos;Offline;M;30/12/14;873522365;13/01/15;3534;437,2;263,33;1545064,8;930608,22;614456,58
África Subsaariana;Liberia;Bebidas;Online;L;19/05/14;285884702;10/06/14;8491;47,45;31,79;402897,95;269928,89;132969,06
Austrália e Oceania;Vanuatu;Cosméticos;Online;H;04/08/12;356506621;03/09/12;7086;437,2;263,33;3097999,2;1865956,38;1232042,82
Austrália e Oceania;Kiribati;Comida para bebê;Offline;L;15/08/10;280749452;01/10/10;8856;255,28;159,42;2260759,68;1411823,52;848936,16
Oriente Médio e Norte da África;Turkey;Comida para bebê;Online;M;26/04/14;224287021;17/05/14;368;255,28;159,42;93943,04;58666,56;35276,48
Europa;San Marino;Frutas;Offline;M;10/06/15;873105657;23/06/15;221;9,33;6,92;2061,93;1529,32;532,61
Europa;Vatican City;Snacks;Offline;C;12/08/10;283504188;02/09/10;4044;152,58;97,44;617033,52;394047,36;222986,16
Oriente Médio e Norte da África;Morocco;Bebidas;Offline;C;28/08/12;632093942;05/09/12;9499;47,45;31,79;450727,55;301973,21;148754,34
África Subsaariana;Equatorial Guinea;Carne;Offline;L;15/07/16;565798747;09/08/16;1277;421,89;364,69;538753,53;465709,13;73044,4
Oriente Médio e Norte da África;Jordan;Vegetais;Online;M;14/09/10;151854932;19/10/10;6104;154,06;90,93;940382,24;555036,72;385345,52
Ásia;Kyrgyzstan;Vegetais;Online;H;07/03/11;427811324;16/04/11;7733;154,06;90,93;1191345,98;703161,69;488184,29
África Subsaariana;Republic of the Congo;Frutas;Online;L;30/04/12;251529252;05/05/12;1950;9,33;6,92;18193,5;13494;4699,5
Austrália e Oceania;East Timor;Snacks;Offline;C;18/05/13;351182544;22/06/13;1574;152,58;97,44;240160,92;153370,56;86790,36
Europa;Estonia;Carne;Offline;H;10/08/14;175257527;25/09/14;1452;421,89;364,69;612584,28;529529,88;83054,4
Ásia;Bangladesh;Snacks;Online;H;31/07/13;142553031;11/09/13;3465;152,58;97,44;528689,7;337629,6;191060,1
África Subsaariana;Senegal;Frutas;Offline;H;02/07/16;292180383;15/08/16;1523;9,33;6,92;14209,59;10539,16;3670,43
Oriente Médio e Norte da África;Pakistan;Frutas;Offline;L;13/09/11;733563411;20/09/11;6569;9,33;6,92;61288,77;45457,48;15831,29
Europa;Czech Republic;Bebidas;Online;H;18/04/11;296438443;19/04/11;1578;47,45;31,79;74876,1;50164,62;24711,48
África Subsaariana;Ghana;Carne;Offline;C;09/02/17;580854308;18/03/17;6552;421,89;364,69;2764223,28;2389448,88;374774,4
Ásia;Japan;Cosméticos;Offline;H;20/11/16;107172334;23/12/16;3530;437,2;263,33;1543316;929554,9;613761,1
Ásia;Kazakhstan;Comida para bebê;Offline;H;16/10/10;166066348;05/12/10;1578;255,28;159,42;402831,84;251564,76;151267,08
América Central e o Caribe;The Bahamas;Snacks;Offline;H;15/03/15;768522679;27/03/15;1794;152,58;97,44;273728,52;174807,36;98921,16
África Subsaariana;Ethiopia;Eletrodomésticos;Online;M;25/06/13;195840156;25/07/13;2309;668,27;502,54;1543035,43;1160364,86;382670,57
África Subsaariana;Burkina Faso;Cosméticos;Offline;L;11/10/12;849630105;09/11/12;3284;437,2;263,33;1435764,8;864775,72;570989,08
África Subsaariana;Madagascar;Frutas;Offline;M;08/07/17;701816356;30/07/17;1910;9,33;6,92;17820,3;13217,2;4603,1
Europa;Netherlands;Artigos Escritório;Online;M;22/06/10;944635236;27/07/10;7413;651,21;524,96;4827419,73;3891528,48;935891,25
Europa;Greece;Vegetais;Online;L;17/02/17;140635573;21/03/17;6046;154,06;90,93;931446,76;549762,78;381683,98
Oriente Médio e Norte da África;Egypt;Carne;Online;C;14/01/11;972678697;25/02/11;6096;421,89;364,69;2571841,44;2223150,24;348691,2
África Subsaariana;South Sudan;Frutas;Online;M;09/01/16;793938434;08/02/16;2880;9,33;6,92;26870,4;19929,6;6940,8
Europa;Kosovo;Comida para bebê;Online;L;18/07/11;177901113;13/08/11;3747;255,28;159,42;956534,16;597346,74;359187,42
Ásia;Brunei;Bebidas;Online;L;16/03/12;668365561;04/05/12;3077;47,45;31,79;146003,65;97817,83;48185,82
Austrália e Oceania;Australia;Vegetais;Online;C;15/12/10;729443109;12/01/11;7281;154,06;90,93;1121710,86;662061,33;459649,53
África Subsaariana;Cape Verde;Frutas;Offline;H;02/03/13;695557582;03/04/13;9800;9,33;6,92;91434;67816;23618
África Subsaariana;Malawi;Eletrodomésticos;Offline;H;17/02/10;521445310;04/04/10;6110;668,27;502,54;4083129,7;3070519,4;1012610,3
Ásia;Philippines;Cuidados Pessoais;Online;L;19/02/13;232155120;30/03/13;8714;81,73;56,67;712195,22;493822,38;218372,84
Europa;Estonia;Bebidas;Online;L;28/10/11;373048341;12/12/11;2149;47,45;31,79;101970,05;68316,71;33653,34
América Central e o Caribe;Trinidad and Tobago;Artigos Escritório;Offline;L;26/10/15;659798800;02/12/15;7982;651,21;524,96;5197958,22;4190230,72;1007727,5
Ásia;Mongolia;Eletrodomésticos;Online;C;05/02/13;428392827;05/02/13;9812;668,27;502,54;6557065,24;4930922,48;1626142,76
Ásia;Japan;Cuidados Pessoais;Offline;M;25/08/11;885129249;03/09/11;8269;81,73;56,67;675825,37;468604,23;207221,14
África Subsaariana;Niger;Carne;Online;C;04/12/12;156619393;05/12/12;6014;421,89;364,69;2537246,46;2193245,66;344000,8
Oriente Médio e Norte da África;Egypt;Comida para bebê;Offline;M;08/09/15;939787089;09/09/15;2739;255,28;159,42;699211,92;436651,38;262560,54
América Central e o Caribe;Saint Lucia;Vegetais;Online;C;01/03/12;151868665;19/04/12;168;154,06;90,93;25882,08;15276,24;10605,84
Oriente Médio e Norte da África;Qatar;Cereais;Offline;C;05/08/14;180412948;24/08/14;7055;205,7;117,11;1451213,5;826211,05;625002,45
África Subsaariana;Mali;Frutas;Offline;H;24/07/13;333281266;28/07/13;4188;9,33;6,92;39074,04;28980,96;10093,08
América Central e o Caribe;Saint Lucia;Cosméticos;Online;L;26/01/12;888647449;28/02/12;9383;437,2;263,33;4102247,6;2470825,39;1631422,21
África Subsaariana;Swaziland;Roupas;Offline;M;10/03/14;844997823;26/04/14;2488;109,28;35,84;271888,64;89169,92;182718,72
Ásia;Mongolia;Frutas;Online;M;12/09/13;171131217;08/10/13;385;9,33;6,92;3592,05;2664,2;927,85
África Subsaariana;Botswana;Artigos Escritório;Online;C;05/01/13;256158959;18/01/13;1983;651,21;524,96;1291349,43;1040995,68;250353,75
Europa;San Marino;Cosméticos;Online;H;28/10/11;759504878;08/12/11;3226;437,2;263,33;1410407,2;849502,58;560904,62
Oriente Médio e Norte da África;Oman;Frutas;Online;C;21/11/10;960905301;25/11/10;2087;9,33;6,92;19471,71;14442,04;5029,67
Ásia;Bangladesh;Artigos Escritório;Offline;C;28/10/15;210409057;04/12/15;3570;651,21;524,96;2324819,7;1874107,2;450712,5
África Subsaariana;Namibia;Cosméticos;Offline;C;29/07/10;178377473;01/09/10;4713;437,2;263,33;2060523,6;1241074,29;819449,31
Ásia;Mongolia;Frutas;Online;M;30/03/14;805484378;01/05/14;9582;9,33;6,92;89400,06;66307,44;23092,62
Ásia;North Korea;Bebidas;Online;C;14/09/16;752716100;12/10/16;4276;47,45;31,79;202896,2;135934,04;66962,16
Europa;Latvia;Roupas;Online;M;06/09/12;551371467;15/09/12;1925;109,28;35,84;210364;68992;141372
África Subsaariana;Burundi;Snacks;Offline;M;08/02/13;353061807;05/03/13;7689;152,58;97,44;1173187,62;749216,16;423971,46
África Subsaariana;Seychelles ;Cuidados Pessoais;Online;C;17/01/11;379710948;30/01/11;3762;81,73;56,67;307468,26;213192,54;94275,72
África Subsaariana;Kenya;Cereais;Online;H;11/10/15;473555219;06/11/15;4368;205,7;117,11;898497,6;511536,48;386961,12
África Subsaariana;Benin;Artigos Escritório;Online;C;21/02/11;547143447;23/02/11;760;651,21;524,96;494919,6;398969,6;95950
América Central e o Caribe;Saint Lucia;Cuidados Pessoais;Online;C;29/04/12;133336961;13/06/12;6225;81,73;56,67;508769,25;352770,75;155998,5
Oriente Médio e Norte da África;Qatar;Carne;Online;H;30/08/16;635309588;14/10/16;1080;421,89;364,69;455641,2;393865,2;61776
África Subsaariana;Mozambique;Bebidas;Online;C;20/12/14;376547658;26/12/14;7675;47,45;31,79;364178,75;243988,25;120190,5
Oriente Médio e Norte da África;Pakistan;Roupas;Offline;M;28/06/10;450849997;21/07/10;5388;109,28;35,84;588800,64;193105,92;395694,72
Ásia;Taiwan;Cuidados Pessoais;Online;M;06/02/15;672327935;06/02/15;5631;81,73;56,67;460221,63;319108,77;141112,86
América Central e o Caribe;Cuba;Cereais;Offline;L;30/03/15;925405299;01/05/15;6847;205,7;117,11;1408427,9;801852,17;606575,73
América Central e o Caribe;Cuba;Eletrodomésticos;Offline;H;28/07/13;714818418;24/08/13;9509;668,27;502,54;6354579,43;4778652,86;1575926,57
Europa;Russia;Bebidas;Offline;C;06/01/10;515616118;05/02/10;1122;47,45;31,79;53238,9;35668,38;17570,52
Europa;Switzerland;Cereais;Offline;C;20/02/13;423159730;11/04/13;1222;205,7;117,11;251365,4;143108,42;108256,98
Europa;Czech Republic;Cuidados Pessoais;Offline;H;25/08/13;603123080;29/09/13;6377;81,73;56,67;521192,21;361384,59;159807,62
Europa;Poland;Carne;Offline;C;16/11/10;841492497;31/12/10;5185;421,89;364,69;2187499,65;1890917,65;296582
África Subsaariana;Mauritius ;Cereais;Offline;L;02/08/16;994566810;01/09/16;3275;205,7;117,11;673667,5;383535,25;290132,25
Oriente Médio e Norte da África;Pakistan;Vegetais;Offline;M;25/04/13;538957345;25/04/13;8310;154,06;90,93;1280238,6;755628,3;524610,3
África Subsaariana;South Africa;Frutas;Offline;L;02/03/11;821587932;11/03/11;4981;9,33;6,92;46472,73;34468,52;12004,21
África Subsaariana;Seychelles ;Eletrodomésticos;Online;C;28/09/13;109694898;16/10/13;13;668,27;502,54;8687,51;6533,02;2154,49
África Subsaariana;Benin;Carne;Offline;M;05/05/14;340827071;05/06/14;7159;421,89;364,69;3020310,51;2610815,71;409494,8
África Subsaariana;Benin;Carne;Offline;L;28/11/14;372845780;09/12/14;2207;421,89;364,69;931111,23;804870,83;126240,4
América Central e o Caribe;Nicaragua;Frutas;Online;M;30/08/14;933924853;13/09/14;7973;9,33;6,92;74388,09;55173,16;19214,93
Oriente Médio e Norte da África;Lebanon;Artigos Escritório;Online;L;20/11/13;572550618;25/11/13;9306;651,21;524,96;6060160,26;4885277,76;1174882,5
Europa;Moldova ;Carne;Online;M;23/02/10;607521903;05/04/10;8086;421,89;364,69;3411402,54;2948883,34;462519,2
Oriente Médio e Norte da África;Tunisia ;Snacks;Online;H;20/03/17;177950036;29/04/17;8225;152,58;97,44;1254970,5;801444;453526,5
Austrália e Oceania;Vanuatu;Bebidas;Offline;M;08/11/15;293258845;14/11/15;664;47,45;31,79;31506,8;21108,56;10398,24
África Subsaariana;South Sudan;Bebidas;Online;C;09/08/10;683184659;23/08/10;8377;47,45;31,79;397488,65;266304,83;131183,82
Europa;Sweden;Cereais;Online;L;12/11/10;247776305;30/11/10;1370;205,7;117,11;281809;160440,7;121368,3
Europa;Ireland;Carne;Offline;C;14/12/11;207395112;26/01/12;1677;421,89;364,69;707509,53;611585,13;95924,4
Europa;Italy;Vegetais;Offline;L;10/01/14;952714908;25/02/14;8367;154,06;90,93;1289020,02;760811,31;528208,71
Europa;Bosnia and Herzegovina;Vegetais;Online;C;03/10/10;694722020;03/10/10;2539;154,06;90,93;391158,34;230871,27;160287,07
Europa;Bosnia and Herzegovina;Eletrodomésticos;Online;H;15/10/15;414715278;04/11/15;2321;668,27;502,54;1551054,67;1166395,34;384659,33
Europa;Poland;Snacks;Offline;M;20/07/13;714306008;17/08/13;7876;152,58;97,44;1201720,08;767437,44;434282,64
Oriente Médio e Norte da África;Kuwait;Snacks;Online;H;19/01/16;465418040;26/02/16;6396;152,58;97,44;975901,68;623226,24;352675,44
África Subsaariana;Sudan;Cereais;Online;M;17/08/13;860287702;11/09/13;7103;205,7;117,11;1461087,1;831832,33;629254,77
Oriente Médio e Norte da África;Saudi Arabia;Vegetais;Online;C;16/08/16;461463820;20/08/16;6254;154,06;90,93;963491,24;568676,22;394815,02
África Subsaariana;Swaziland;Comida para bebê;Offline;M;25/09/13;151807725;29/09/13;2134;255,28;159,42;544767,52;340202,28;204565,24
